in:dy_4,in:dx_0,in:dy_0,out:Deflection,out:Mass,out:SE,out:Mass_CSOptim,out:Deflection_CSOptim,out:SE_CSOptim,out:HasFailed_CSOptim,img
-0.8,-0.6,-1.5,0.015587,1171.911742,0.007793,87.163961,0.417459,0.20873,False,dy_4-0.8_dx_0-0.6_dy_0-1.5.png
-0.4,-0.6,-1.5,0.019306,1197.890327,0.009653,105.647204,0.422816,0.211408,False,dy_4-0.4_dx_0-0.6_dy_0-1.5.png
0,-0.6,-1.5,0.021366,1237.108298,0.010683,116.453626,0.401552,0.200776,False,dy_40_dx_0-0.6_dy_0-1.5.png
0.4,-0.6,-1.5,0.018483,1289.24956,0.009242,176.444113,0.27925,0.139625,False,dy_40.4_dx_0-0.6_dy_0-1.5.png
0.8,-0.6,-1.5,0.014265,1353.114964,0.007133,135.856944,0.134581,0.067291,False,dy_40.8_dx_0-0.6_dy_0-1.5.png
1.2,-0.6,-1.5,0.011474,1426.800641,0.005737,135.741432,0.091212,0.045606,False,dy_41.2_dx_0-0.6_dy_0-1.5.png
1.6,-0.6,-1.5,0.009992,1508.215794,0.004996,148.222359,0.069366,0.034683,False,dy_41.6_dx_0-0.6_dy_0-1.5.png
2,-0.6,-1.5,0.009293,1595.496565,0.004646,162.034956,0.060298,0.030149,False,dy_42_dx_0-0.6_dy_0-1.5.png
-2,-0.4,-1.5,0.012928,1126.456499,0.006464,32.509539,0.349998,0.174999,False,dy_4-2_dx_0-0.4_dy_0-1.5.png
-1.6,-0.4,-1.5,0.011932,1114.295727,0.005966,43.000039,0.346101,0.173051,False,dy_4-1.6_dx_0-0.4_dy_0-1.5.png
-1.2,-0.4,-1.5,0.012395,1116.647151,0.006198,54.053064,0.355784,0.177892,False,dy_4-1.2_dx_0-0.4_dy_0-1.5.png
-0.8,-0.4,-1.5,0.014507,1132.071564,0.007253,73.278209,0.401128,0.200564,False,dy_4-0.8_dx_0-0.4_dy_0-1.5.png
-0.4,-0.4,-1.5,0.018037,1160.233733,0.009019,89.386212,0.415609,0.207804,False,dy_4-0.4_dx_0-0.4_dy_0-1.5.png
0,-0.4,-1.5,0.020208,1201.26458,0.010104,112.43633,0.396276,0.198138,False,dy_40_dx_0-0.4_dy_0-1.5.png
0.4,-0.4,-1.5,0.017845,1254.901806,0.008922,174.07687,0.277773,0.138886,False,dy_40.4_dx_0-0.4_dy_0-1.5.png
0.8,-0.4,-1.5,0.013989,1320.006511,0.006995,134.56111,0.134786,0.067393,False,dy_40.8_dx_0-0.4_dy_0-1.5.png
1.2,-0.4,-1.5,0.011347,1394.727246,0.005674,134.5466,0.091361,0.045681,False,dy_41.2_dx_0-0.4_dy_0-1.5.png
1.6,-0.4,-1.5,0.009925,1477.015227,0.004962,147.1127,0.069477,0.034738,False,dy_41.6_dx_0-0.4_dy_0-1.5.png
2,-0.4,-1.5,0.009253,1565.039286,0.004627,160.997828,0.060395,0.030197,False,dy_42_dx_0-0.4_dy_0-1.5.png
-2,-0.2,-1.5,0.012121,1081.224647,0.00606,35.507909,0.327342,0.163671,False,dy_4-2_dx_0-0.2_dy_0-1.5.png
-1.6,-0.2,-1.5,0.011008,1072.092109,0.005504,38.663601,0.405428,0.202714,False,dy_4-1.6_dx_0-0.2_dy_0-1.5.png
-1.2,-0.2,-1.5,0.011525,1077.57234,0.005763,47.113484,0.422832,0.211416,False,dy_4-1.2_dx_0-0.2_dy_0-1.5.png
-0.8,-0.2,-1.5,0.013615,1095.703497,0.006808,69.795466,0.384663,0.192331,False,dy_4-0.8_dx_0-0.2_dy_0-1.5.png
-0.4,-0.2,-1.5,0.017069,1126.067699,0.008535,85.839149,0.408055,0.204027,False,dy_4-0.4_dx_0-0.2_dy_0-1.5.png
0,-0.2,-1.5,0.019379,1168.863639,0.009689,108.826863,0.39687,0.198435,False,dy_40_dx_0-0.2_dy_0-1.5.png
0.4,-0.2,-1.5,0.017413,1223.921148,0.008706,160.996289,0.300186,0.150093,True,dy_40.4_dx_0-0.2_dy_0-1.5.png
0.8,-0.2,-1.5,0.01382,1290.181097,0.00691,133.408821,0.135183,0.067591,False,dy_40.8_dx_0-0.2_dy_0-1.5.png
1.2,-0.2,-1.5,0.011281,1365.853685,0.00564,133.487196,0.091593,0.045796,False,dy_41.2_dx_0-0.2_dy_0-1.5.png
1.6,-0.2,-1.5,0.009898,1448.936149,0.004949,133.760157,0.069762,0.034881,False,dy_41.6_dx_0-0.2_dy_0-1.5.png
2,-0.2,-1.5,0.009245,1537.631468,0.004623,146.595198,0.06063,0.030315,False,dy_42_dx_0-0.2_dy_0-1.5.png
